Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	ccs	cluster index	componentindex	ion_mobility	ion_mobility_unit	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=76&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"	BETAINE	0.9522579999999999	 	0.9604	0.9604	0	C[N+](C)(C)CC(=O)[O-]	CCMSLIB00006683627	600031761.5297999	753	 	11	76	 	 	 	753	118.0861	1	118.0861	600031761.5297999
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12","main.cluster index_upperinput":"12"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=76&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"	BETAINE	0.9590049999999999	 	0.7998	0.7998	0	C[N+](C)(C)CC(=O)[O-]	CCMSLIB00006683627	4349419791.855301	771	 	12	76	 	 	 	771	118.0861	1	118.0861	4349419791.855301
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13","main.cluster index_upperinput":"13"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=76&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"	BETAINE	0.959411	 	1.3655	1.3655	0	C[N+](C)(C)CC(=O)[O-]	CCMSLIB00006683627	473888273.6625001	755	 	13	76	 	 	 	755	118.0862	1	118.0862	473888273.6625001
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14","main.cluster index_upperinput":"14"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2"	2-Amino-1-phenylethanol CollisionEnergy:205060	0.9504389999999999	 	2.4851	2.4851	0	NCC(O)c1ccccc1	CCMSLIB00010122232	73721515.96779995	516	 	14	6	 	 	 	516	120.0807	1	120.0807	73721515.96779995
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15","main.cluster index_upperinput":"15"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=23&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2"	Phenethylamine CollisionEnergy:102040	0.9436120000000001	 	2.8518	2.8518	0	NCCc1ccccc1	CCMSLIB00010103354	26401884.670700002	353	 	15	23	 	 	 	353	122.0964	1	122.0964	26401884.670700002
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.733831	 	12.6957	12.6957	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	341687824.831	263	 	16	102	 	 	 	263	124.0868	1	124.0868	341687824.831
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17","main.cluster index_upperinput":"17"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.738224	 	12.5202	12.5202	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	345030383.83000004	263	 	17	102	 	 	 	263	124.0868	1	124.0868	345030383.83000004
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18","main.cluster index_upperinput":"18"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.731658	 	12.6134	12.6134	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	108777048.47499996	263	 	18	102	 	 	 	263	124.0868	1	124.0868	108777048.47499996
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19","main.cluster index_upperinput":"19"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.730862	 	12.8277	12.8277	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	361779425.4864	272	 	19	102	 	 	 	272	124.0868	1	124.0868	361779425.4864
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20","main.cluster index_upperinput":"20"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.73216	 	12.3828	12.3828	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	218515045.25699994	263	 	20	102	 	 	 	263	124.0868	1	124.0868	218515045.25699994
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21","main.cluster index_upperinput":"21"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.734078	 	11.9937	11.9937	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	141831940.03600004	263	 	21	102	 	 	 	263	124.0868	1	124.0868	141831940.03600004
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22","main.cluster index_upperinput":"22"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.739869	 	12.0759	12.0759	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	266586016.46699992	263	 	22	102	 	 	 	263	124.0868	1	124.0868	266586016.46699992
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23","main.cluster index_upperinput":"23"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.738716	 	11.8864	11.8864	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	187970725.14100003	263	 	23	102	 	 	 	263	124.0868	1	124.0868	187970725.14100003
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24","main.cluster index_upperinput":"24"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.731529	 	12.1315	12.1315	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	71159617.154	263	 	24	102	 	 	 	263	124.0868	1	124.0868	71159617.154
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25","main.cluster index_upperinput":"25"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.737953	 	12.1993	12.1993	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	323386901.41099983	263	 	25	102	 	 	 	263	124.0868	1	124.0868	323386901.41099983
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26","main.cluster index_upperinput":"26"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.738822	 	11.7451	11.7451	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	232281307.30900002	263	 	26	102	 	 	 	263	124.0868	1	124.0868	232281307.30900002
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27","main.cluster index_upperinput":"27"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.738865	 	11.3313	11.3313	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	327053885.2959999	263	 	27	102	 	 	 	263	124.0868	1	124.0868	327053885.2959999
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28","main.cluster index_upperinput":"28"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.738835	 	11.5326	11.5326	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	287716883.08500004	263	 	28	102	 	 	 	263	124.0868	1	124.0868	287716883.08500004
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29","main.cluster index_upperinput":"29"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.731427	 	11.6146	11.6146	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	104013837.72100002	263	 	29	102	 	 	 	263	124.0868	1	124.0868	104013837.72100002
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30","main.cluster index_upperinput":"30"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=102&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	"InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/t5-/m0/s1"	HISTIDINOL	0.742965	 	11.1589	11.1589	0	N[C@H](CO)CC1=CN=CN1	CCMSLIB00005464073	346545153.0280002	263	 	30	102	 	 	 	263	124.0868	1	124.0868	346545153.0280002
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31","main.cluster index_upperinput":"31"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=212&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	N/A	N/A	N/A	 	0.6782	0.6782	0	N/A	N/A	4812415690.345001	730	 	31	212	 	 	 	730	128.0192	1	128.0192	4812415690.345001
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32","main.cluster index_upperinput":"32"}	This Node is a Singleton	N/A	N/A	N/A	 	0.8128	0.8128	0	N/A	N/A	2202009.7029	48	 	32	-1	 	 	 	48	130.1226	1	130.1226	2202009.7029
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33","main.cluster index_upperinput":"33"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=88&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-(+)-Isoleucine - 40.0 eV	0.970882	 	1.3770	1.3770	0	CC[C@H](C)[C@@H](C(=O)O)N	CCMSLIB00006113099	198476825.49569997	463	 	33	88	 	 	 	463	132.1018	1	132.1018	198476825.49569997
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34","main.cluster index_upperinput":"34"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=76&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	 	trimethylammoniumpropionate (TMAP)	0.9664510000000001	 	0.8101	0.8101	0	 	CCMSLIB00006718037	3626258571.990797	732	 	34	76	 	 	 	732	132.1018	1	132.1018	3626258571.990797
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35","main.cluster index_upperinput":"35"}	This Node is a Singleton	 	Dimethylsulfoniopropionate (DMSP)	0.8874879999999999	 	0.7907	0.7907	0	 	CCMSLIB00006716179	244527457.09070003	652	 	35	-1	 	 	 	652	135.0474	1	135.0474	244527457.09070003
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36","main.cluster index_upperinput":"36"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3	Carveol	0.773115	 	9.0687	9.0687	0	CC1=CCC(CC1O)C(=C)C	CCMSLIB00005435948	13479315.565300005	124	 	36	1	 	 	 	124	135.1168	1	135.1168	13479315.565300005
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37","main.cluster index_upperinput":"37"}	This Node is a Singleton	N/A	N/A	N/A	 	7.4778	7.4778	0	N/A	N/A	229864383.858	189	 	37	-1	 	 	 	189	136.0427	1	136.0427	229864383.858
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38","main.cluster index_upperinput":"38"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	Massbank:NA003375 Adenine|7H-purin-6-amine	0.975044	 	1.1530	1.1530	0	NC1=C2N=CNC2=NC=N1	CCMSLIB00005769888	17388416.078500003	280	 	38	6	 	 	 	280	136.0617	1	136.0617	17388416.078500003
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39","main.cluster index_upperinput":"39"}	This Node is a Singleton	N/A	Spectral Match to DL-Octopamine from NIST14	0.927327	 	1.5177	1.5177	0	N/A	CCMSLIB00003138629	6284355.4086000025	61	 	39	-1	 	 	 	61	136.0756	1	136.0756	6284355.4086000025
 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=991ffcd3523e4e92afa3387f6096d9dc&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"40","main.cluster index_upperinput":"40"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=225&task=991ffcd3523e4e92afa3387f6096d9dc&show=true	 1S/C7H7NO2/c1-8-5-3-2-4-6(8)7(9)10/h2-5H,1H3	Homarine	0.963901	 	1.3579	1.3579	0	 C[N+]1=CC=CC=C1C(=O)[O-]	CCMSLIB00006717989	635376706.2899995	480	 	40	225	 	 	 	480	138.0549	1	138.0549	635376706.2899995
