formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C8H8	[M + H3N + H]+	C8H12N+	Shikimates and Phenylpropanoids	0.420	Phenylpropanoids (C6-C3)	0.414	Cinnamic acids and derivatives	0.357	Benzenoids	0.991	Benzene and substituted derivatives	0.929					Benzene and substituted derivatives	0.929	Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	122.096	168	592790074381177862	592789403569331553	15
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.938	Nicotinic acid alkaloids	0.900	Pyridine alkaloids	0.901	Organoheterocyclic compounds	0.870	Heteroaromatic compounds	0.819					Heteroaromatic compounds	0.819	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	765	592793471792655131	592789403690966374	16
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.941	Nicotinic acid alkaloids	0.904	Pyridine alkaloids	0.905	Organoheterocyclic compounds	0.869	Heteroaromatic compounds	0.816					Heteroaromatic compounds	0.816	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	744	592793402087516259	592789403909070187	17
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.939	Nicotinic acid alkaloids	0.889	Pyridine alkaloids	0.890	Organoheterocyclic compounds	0.873	Heteroaromatic compounds	0.803					Heteroaromatic compounds	0.803	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	763	592793480374201236	592789404114591088	18
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.938	Nicotinic acid alkaloids	0.889	Pyridine alkaloids	0.890	Organoheterocyclic compounds	0.866	Heteroaromatic compounds	0.794					Heteroaromatic compounds	0.794	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	772	592793470370786019	592789404328500597	19
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.939	Nicotinic acid alkaloids	0.890	Pyridine alkaloids	0.891	Organoheterocyclic compounds	0.879	Heteroaromatic compounds	0.816					Heteroaromatic compounds	0.816	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	744	592793401806497880	592789404521438586	20
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.945	Nicotinic acid alkaloids	0.909	Pyridine alkaloids	0.910	Organoheterocyclic compounds	0.886	Heteroaromatic compounds	0.835					Heteroaromatic compounds	0.835	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	714	592792966236413904	592789404655656319	21
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.913	Nicotinic acid alkaloids	0.885	Pyridine alkaloids	0.886	Organoheterocyclic compounds	0.913	Heteroaromatic compounds	0.886					Heteroaromatic compounds	0.886	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	723	592793723241180667	592789404794068356	22
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.924	Nicotinic acid alkaloids	0.888	Pyridine alkaloids	0.889	Organoheterocyclic compounds	0.872	Heteroaromatic compounds	0.836					Heteroaromatic compounds	0.836	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	709	592793036465840824	592789404919897481	23
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.915	Nicotinic acid alkaloids	0.887	Pyridine alkaloids	0.888	Organoheterocyclic compounds	0.931	Heteroaromatic compounds	0.900					Heteroaromatic compounds	0.900	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	729	592793498191604775	592789405100252558	24
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.914	Nicotinic acid alkaloids	0.890	Pyridine alkaloids	0.891	Organoheterocyclic compounds	0.908	Heteroaromatic compounds	0.879					Heteroaromatic compounds	0.879	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	729	592793405707200705	592789405276413331	25
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.935	Nicotinic acid alkaloids	0.904	Pyridine alkaloids	0.904	Organoheterocyclic compounds	0.878	Heteroaromatic compounds	0.831					Heteroaromatic compounds	0.831	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	711	592792968576835582	592789405439991192	26
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.936	Nicotinic acid alkaloids	0.908	Pyridine alkaloids	0.909	Organoheterocyclic compounds	0.870	Heteroaromatic compounds	0.821					Heteroaromatic compounds	0.821	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	681	592792924142378482	592789405570014621	27
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.915	Nicotinic acid alkaloids	0.890	Pyridine alkaloids	0.891	Organoheterocyclic compounds	0.913	Heteroaromatic compounds	0.885					Heteroaromatic compounds	0.885	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	685	592792956383993620	592789405670677922	28
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.946	Nicotinic acid alkaloids	0.911	Pyridine alkaloids	0.912	Organoheterocyclic compounds	0.888	Heteroaromatic compounds	0.838					Heteroaromatic compounds	0.838	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	697	592793254942942991	592789405775535527	29
1	C6H6N2	[M + H3N + H]+	C6H10N3+	Alkaloids	0.917	Nicotinic acid alkaloids	0.890	Pyridine alkaloids	0.891	Organoheterocyclic compounds	0.880	Heteroaromatic compounds	0.843					Heteroaromatic compounds	0.843	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	124.087	666	592792578691110127	592789405897170348	30
1	C2H5N2O3	[M + Na]+	C2H5N2NaO3+	Amino acids and Peptides	0.680	Small peptides	0.640	Aminoacids	0.615	Organic acids and derivatives	0.937	Carboxylic acids and derivatives	0.819	Carboxylic acids	0.763			Carboxylic acids	0.763	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	128.019	41	592789999030487286	592789406027193777	31
1	C7H17NO2	[M - H2O + H]+	C7H16NO+	Fatty acids	0.958	Fatty esters	0.235	Fatty acyl carnitines	0.245	Lipids and lipid-like molecules	0.479	Fatty Acyls	0.524					Fatty Acyls	0.524	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; Carboxylic acids; Amines; Alkanolamines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.123	49	592790044077319369	592789406132051382	32
1	C6H10O2	[M + H3N + H]+	C6H14NO2+	Fatty acids	0.994	Fatty Acids and Conjugates	0.960	Branched fatty acids	0.666	Lipids and lipid-like molecules	0.830	Fatty Acyls	0.829	Fatty acids and conjugates	0.821	Branched fatty acids	0.609	Methyl-branched fatty acids	0.510	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	132.102	92	592790050549136498	592789406220131771	33
1	C6H15NO3	[M - H2O + H]+	C6H14NO2+	Amino acids and Peptides	0.962	Small peptides	0.935	Aminoacids	0.971	Organic acids and derivatives	0.745	Carboxylic acids and derivatives	0.675	Amino acids, peptides, and analogues	0.570	Amino acids and derivatives	0.566	Amino acids and derivatives	0.566	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	132.102	53	592790048061911150	592789406316600768	34
1	C5H12O3S	[M - H2O + H]+	C5H11O2S+	Fatty acids	0.998	Fatty Acids and Conjugates	0.973	Thia fatty acids	0.840	Lipids and lipid-like molecules	0.610	Fatty Acyls	0.556	Fatty acids and conjugates	0.531	Straight chain fatty acids	0.581	Straight chain fatty acids	0.581	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	135.047	47	592790000968255771	592789406387903941	35
1	C10H18O2	[M - H4O2 + H]+	C10H15+	Terpenoids	0.978	Monoterpenoids	0.840	Acyclic monoterpenoids	0.293	Lipids and lipid-like molecules	0.687	Prenol lipids	0.656					Prenol lipids	0.656	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Tertiary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	135.117	539	592791344814938826	592789406459207114	36
1	C4H11NO3S	[M - H2O + H]+	C4H10NO2S+	Alkaloids	0.076	Pseudoalkaloids (transamidation)	0.017	Sphingoid bases	0.025	Organic acids and derivatives	0.989	Organic sulfonic acids and derivatives	0.952	Organosulfonic acids and derivatives	0.952	Alkanesulfonic acids and derivatives	0.946	Alkanesulfonic acids	0.945	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonic acids; Trialkylamines; Amines; Tertiary amines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	136.043	445	592790784246201545	592789406555676111	37
1	C5H11NO2	[M + Na]+	C5H11NNaO2+	Amino acids and Peptides	0.327	Fatty esters	0.561	Aminoacids	0.401	Organic acids and derivatives	0.963	Carboxylic acids and derivatives	0.959	Amino acids, peptides, and analogues	0.636	Amino acids and derivatives	0.633	Alpha amino acids and derivatives	0.641	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	140.068	49	592790034711434527	592789407230959085	44
1	C10H6	[M + H3N + H]+	C10H10N+	Shikimates and Phenylpropanoids	0.136	Fatty acyls	0.136	Hydrocarbons	0.034	Benzenoids	0.989							Benzenoids	0.989	Organic compounds; Benzenoids; Hydrocarbons; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	144.081	197	592790075970820253	592789407327428082	45
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	Amino acids and Peptides	0.814	Small peptides	0.806	Aminoacids	0.861	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.862	Amino acids and derivatives	0.861	Alpha amino acids	0.556	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	144.102	102	592790050100345546	592789407444868599	46
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	Amino acids and Peptides	0.919	Small peptides	0.916	Aminoacids	0.929	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.893	Amino acids and derivatives	0.892	Alpha amino acids and derivatives	0.615	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	144.102	82	592790046577126317	592789407549726204	47
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	Amino acids and Peptides	0.909	Small peptides	0.923	Aminoacids	0.936	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.913	Amino acids and derivatives	0.912	Alpha amino acids	0.553	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	144.102	56	592790048338735440	592789407650389505	48
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	Amino acids and Peptides	0.878	Small peptides	0.906	Aminoacids	0.911	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.908	Amino acids and derivatives	0.906	Alpha amino acids and derivatives	0.612	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	144.102	48	592790033344090658	592789407751052806	49
1	C7H17NO3	[M - H2O + H]+	C7H16NO2+	Fatty acids	0.935	Fatty esters	0.101	Aminoacids	0.175	Organic acids and derivatives	0.978	Carboxylic acids and derivatives	0.966	Amino acids, peptides, and analogues	0.687	Amino acids and derivatives	0.687	Gamma amino acids and derivatives	0.563	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Gamma amino acids and derivatives; Amines; Secondary amines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.117	53	592790048728806585	592789407834938891	51
1	C6H10O3	[M + H3N + H]+	C6H14NO3+	Fatty acids	0.948	Fatty esters	0.633	Lactones	0.452	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.821			Carbonyl compounds	0.821	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	148.097	48	592790033897739188	592789407914630672	52
1	C6H14O4	[M + H]+	C6H15O4+	Fatty acids	0.783	Fatty acyls	0.544	Fatty alcohols	0.495	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.988	Dialkyl ethers	0.990	Polyethylene glycols	0.968	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	151.097	549	592791494396404464	592789408204037663	56
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	Amino acids and Peptides	0.727	Small peptides	0.698	Aminoacids	0.723	Organic acids and derivatives	0.974	Carboxylic acids and derivatives	0.979	Amino acids, peptides, and analogues	0.828	Amino acids and derivatives	0.827	Amino acids	0.813	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.117	113	592790053610980674	592789408631856696	65
1	C8H17NO3	[M - H2O + H]+	C8H16NO2+	Fatty acids	0.430	Small peptides	0.347	Aminoacids	0.367	Organic acids and derivatives	0.951	Carboxylic acids and derivatives	0.960	Amino acids, peptides, and analogues	0.785	Amino acids and derivatives	0.785	Amino acids	0.700	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.117	79	592790047457930805	592789408711548477	66
